Data Series,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Portugal,495.2,215.3,191.5,104.1,93.3,85,67.9,72,72.1,61.5,72.5,312.2,116.4,76.3,88.6,81,61.8,41.2,26.5,18.6,14.6,42.8,6.1,4.9
Russian Federation,296,302.9,617.5,497.6,597.2,369.1,302.6,269.7,255.9,250.3,265.5,344.3,468.2,379.4,360.3,490.7,359.3,225.5,146.7,85.7,48.8,31.8,33.6,23.5
Spain,"1,192.9","1,254.4",723.6,715.9,748.8,727.9,407,378.9,441.3,262.6,202,231.3,233.5,220.5,186.2,366.2,195.8,130.2,73.7,83.6,74.1,88.5,70.2,78.9
Sweden,871.5,602.2,503.6,375.9,460.9,451.4,396.9,234.2,286.2,232.7,205.9,204.2,225.2,254.3,207.7,192.3,182.9,271.9,220.5,188.4,171.4,154.2,176.4,211.8
Switzerland,"16,532.6","17,191.9","13,778.3","11,977.5","11,151","9,871.1","7,281.1","5,977.3","6,801.9","6,059.1","5,075","4,269.8","3,331.7","2,479.6","2,338.6","2,313.5","2,628.3","1,864.6","1,546.9","1,738.4",848.8,459,411.7,364.4
United Kingdom,"20,205.7","19,037.2","15,250.8","11,433.6","13,785","14,642.7","10,966.5","10,112.4","10,424.5","11,170.5","10,704.1","8,311.3","8,218.3","7,588","7,825.9","7,977.5","5,802.8","4,794.7","3,379.4","3,068.4","2,527.8","2,078.2","2,049.4","1,722.7"
United States Of America,"51,122.8","61,936.7","48,497.9","33,426.4","29,277.2","28,321.4","21,036.2","21,972","22,929.1","22,238","20,624.1","19,208.2","16,713.3","16,081.2","13,768.5","15,715.9","14,615.3","14,335.1","10,718","9,312.5","7,829.8","7,158.4","6,829.1","6,935.3"
Canada,"4,364.2","5,062.9","4,225.5","3,078.3","2,700.3","2,108.3","1,628.8","1,302.5","1,257.9","1,385.9","1,260","1,172.1","1,157.8","1,138.3",849.3,793.1,675,532,424.8,339.3,260.1,241.4,238.1,249
Australia,"40,695.5","40,142.6","32,741.7","25,817.1","25,016.2","21,924.6","19,356.3","14,291.5","12,949.5","13,080.1","11,896.1","11,454.5","10,279.6","8,853.9","7,279.8","6,244.5","4,662.8","3,901.8","3,366.2","2,894.6","2,234.9","1,840.1","1,486.9","1,412.3"
Marshall Islands,"1,183.8","1,027.3",608.3,650.4,738.2,493.8,437.1,529.3,539.6,454.1,399.4,398.7,402.3,305.5,na,52.7,40.6,25.6,1.4,3.8,1,1.6,0.5,na
New Zealand,"4,413","4,784.7","3,825","2,953.3","2,977.1","2,901.7","2,579.3","1,886.4","1,775.5","1,542.8","1,299.7","1,228.2",959.1,832.5,825.4,835.8,730.1,579.7,542.8,451.7,339.5,330.5,210,199.8
Papua New Guinea,658.1,550.7,385.4,415.5,491.5,423.8,372.3,375.6,376.4,487.4,829.7,574.5,113.9,101,71.6,55.4,40.3,30,17.3,15.2,9.7,8.9,8.7,15.6
Bermuda,"1,895.6","1,883.1","1,762.8","1,172.7","1,269.7",989.4,"1,067.4","1,043.9","1,242.9","1,044.8","1,068.7",560.3,619.6,368.6,316.1,369.7,435.4,414.6,365.3,259.9,233,205.1,249.1,222.7
Brazil,"3,901.4","4,198.7","5,679.5","2,847.4","2,672.1","1,855.4","1,074.1","1,567.8","2,104","2,596.7","2,274.4","1,435.1","1,227",516.7,273.3,162.2,155,116.4,77.4,55.8,22,57.8,54.2,na
British Virgin Islands,"1,558.7","1,581.2","2,041.9","1,852.3","1,714.3","1,581.6","1,239.4",969.3,"1,402.3","1,119.8",968.6,844.2,750.7,807.4,579.4,668.5,592.7,389.8,309.2,283.6,155.6,114.6,92,92.7
Cayman Islands,"3,702.3","3,804.3","3,822.7","3,109.6","2,313.7","2,090.8","2,715","1,874.6","1,737.4","1,369.6","1,094.3",784.8,643.5,827.4,732.9,"1,147","1,230.7",837.6,591.9,431.3,154.6,148.8,102.5,96.5
Chile,934.1,826,683.2,465,456.7,354.8,269.1,251.2,387.4,366.2,378.4,232.2,160.8,133.7,97.9,113.3,15,17.3,10,2.8,7.2,3.6,4.1,8.2
Mexico,"2,686.4","3,653","3,086.8","1,763.4","1,677.4",887.2,608.9,311.6,287.9,289.7,202.8,237.7,411.2,408.6,433.4,538.1,476.7,509.8,388.3,390.4,384.8,235.7,264.3,249.3
Panama,481.4,417.6,356.2,365.6,403.5,419.1,446.3,278,354.6,318.8,317.5,316.5,231.7,323.2,165.2,184.2,247.5,156.2,119.5,115.9,89,94.8,61.5,76.8
Peru,324.6,329.5,424.7,130.1,115,104.2,92.3,75.8,99.9,98.9,66.5,77.3,33.1,17.5,6.8,5.4,1.8,1.6,na,0.9,0.4,na,na,-
Egypt,739.7,713.8,626.4,255.1,302.4,267.8,166.5,180.3,227.6,211.5,246.6,186.7,158.4,117.1,106.8,155.4,92.5,93.8,34.4,34,26,30.3,25.7,35.9
Liberia,350.3,169.8,245.5,246.7,187.1,199.5,296.8,247.7,212.4,170.4,129.7,121.9,113.1,103.3,127.7,143.4,93.9,34.2,10.4,32.2,32,33.6,24,41.2
Mauritius,443.2,441.3,374.3,278.6,410.6,457.3,276.6,397.8,"3,831.2","1,834.6","1,451.2","1,234","1,303.5","1,280.7",816.7,734.2,307.2,237.3,172.6,89,50,91.2,32.5,45.5
Nigeria,821.9,815.1,867,435.3,506.6,417.7,353.5,301.6,375.1,457.6,376.4,268.2,195.5,185.3,174,208,102,88.1,54,7.8,7.1,23.4,1.7,1.6
South Africa,"1,299.6","1,270.5","1,017.6",678.2,734.9,756.7,602.9,485.6,576.9,610.5,642.4,437.7,410,384.6,402.1,522.9,443.4,338.3,346.4,312.4,256.3,167.2,133.6,117.4
,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,
